id,video_name_id,frame,psm_origo_x,psm_origo_y,psm_leftFromOrigo_x,psm_leftFromOrigo_y,psm_rightFromOrigoUp_x,psm_rightFromOrigoUp_y,psm_rightFromOrigoDown_x,psm_rightFromOrigoDown_y,psm_belowOrigo_x,psm_belowOrigo_y,psm_aboveOrigo_x,psm_aboveOrigo_y
1,1,1,317.0,344.0,300.0,346.0,353.0,351.0,353.0,360.0,318.0,357.0,315.0,336.0
2,2,1,437.0,297.0,453.0,291.0,409.0,305.0,410.0,316.0,436.0,309.0,441.0,284.0
3,1,2,310.71435546875,358.738159179687,298.640045166016,346.023132324219,353.058197021484,352.289337158203,352.372955322266,359.169769287109,317.858093261719,356.458404541016,296.116363525391,344.180511474609
4,2,2,489.689361572266,298.578033447266,493.336669921875,263.579406738281,407.201385498047,311.041595458984,420.241271972656,314.797210693359,477.028686523438,314.841156005859,466.882141113281,249.703125
5,1,3,320.180847167969,346.420135498047,312.379364013672,337.356475830078,350.597534179687,349.45849609375,350.320831298828,356.624359130859,324.764617919922,345.035766601562,307.099731445312,331.639251708984
6,2,3,472.762603759766,287.828460693359,497.618713378906,360.280883789063,403.597930908203,319.464050292969,413.8115234375,321.714202880859,445.144439697266,306.046051025391,481.112274169922,298.038513183594
7,1,4,317.838470458984,345.384765625,310.845367431641,336.516235351562,348.668304443359,348.403167724609,348.379028320313,355.603149414062,322.364349365234,343.979064941406,305.054138183594,330.645324707031
8,2,4,474.558837890625,290.721954345703,497.618927001953,360.2890625,404.716369628906,321.74072265625,415.904663085937,323.598052978516,447.615386962891,309.766387939453,483.588043212891,302.065948486328
9,1,6,316.0,345.0,296.0,340.0,346.784362792969,347.337829589844,346.457611083984,354.531768798828,316.0,354.0,302.0,329.0
10,2,6,443.0,315.0,461.0,311.0,405.822387695312,323.321014404297,417.0,325.0,450.0,321.0,447.0,303.0
11,1,7,310.556823730469,342.847747802734,289.538116455078,338.016296386719,340.277893066406,344.747955322266,339.950317382812,352.045837402344,310.437622070312,351.663299560547,295.488616943359,326.943969726562
12,2,7,439.376617431641,317.571228027344,456.486389160156,313.447814941406,403.638610839844,326.191650390625,414.644958496094,327.989166259766,445.611877441406,323.322448730469,443.566986083984,306.568115234375
13,1,8,307.445526123047,342.416442871094,286.281127929687,337.090789794922,337.927398681641,343.531982421875,337.571594238281,350.847015380859,307.440765380859,350.656097412109,292.387359619141,325.894836425781
14,2,8,436.808654785156,320.769073486328,454.230895996094,315.96240234375,402.548217773437,329.157562255859,414.380523681641,330.43359375,443.244598388672,326.036865234375,441.248107910156,309.501556396484
15,1,9,304.587860107422,340.890533447266,283.045837402344,336.08642578125,335.675598144531,342.375671386719,335.241027832031,349.619598388672,304.436614990234,349.648193359375,289.249206542969,324.852600097656
16,2,9,434.345062255859,324.229187011719,451.142242431641,319.751159667969,400.486785888672,332.561340332031,412.153778076172,333.887023925781,440.410583496094,329.740844726562,438.569854736328,312.459899902344
17,1,10,301.97021484375,340.186798095703,280.494049072266,335.067993164062,333.467712402344,340.899505615234,332.813140869141,348.077239990234,301.614013671875,348.516052246094,286.816833496094,323.827972412109
18,2,10,430.504852294922,328.289398193359,447.183288574219,323.794677734375,397.764862060547,336.270141601562,408.456756591797,337.809936523437,436.494140625,333.571594238281,434.824981689453,317.039978027344
19,1,11,299.565734863281,338.874694824219,277.892883300781,333.739013671875,331.546752929687,339.559295654297,330.473510742187,346.542083740234,299.094268798828,347.146667480469,284.550628662109,322.357940673828
20,2,11,426.987060546875,330.593383789063,443.824462890625,326.009857177734,394.982421875,339.809143066406,408.748962402344,339.657501220703,432.939208984375,335.941558837891,431.84521484375,319.690856933594
21,1,12,297.296295166016,338.181762695312,275.878112792969,333.029846191406,330.248168945312,338.693511962891,328.704193115234,345.542205810547,297.758972167969,346.204833984375,282.683654785156,321.651123046875
22,2,12,424.391967773438,335.023315429687,441.000396728516,329.961822509766,389.486328125,346.679962158203,407.643188476562,343.761413574219,430.045837402344,340.067260742187,429.56591796875,324.487884521484
23,1,13,295.203765869141,337.489501953125,273.849365234375,332.272491455078,328.93896484375,337.921844482422,327.02099609375,344.549194335937,295.410522460937,345.45947265625,280.697570800781,320.936950683594
24,2,13,421.751129150391,339.341339111328,438.351348876953,333.984436035156,391.077392578125,348.341949462891,406.376281738281,347.91943359375,427.217987060547,344.250396728516,427.184631347656,328.281433105469
25,1,14,294.993713378906,337.487182617187,273.790832519531,332.312927246094,328.824798583984,338.090545654297,326.834869384766,344.652740478516,295.204803466797,345.453460693359,280.395721435547,320.960479736328
26,2,14,418.879425048828,341.398651123047,435.465698242188,335.926025390625,392.029479980469,349.091857910156,405.685333251953,349.886016845703,424.323791503906,346.179016113281,424.391418457031,330.716827392578
27,1,15,294.699157714844,337.488830566406,273.742309570312,332.333312988281,328.71240234375,338.241851806641,326.666412353516,344.754028320312,294.927612304688,345.442810058594,280.110961914062,320.970336914062
28,2,15,416.058929443359,343.387420654297,432.189208984375,337.851745605469,391.85791015625,349.533081054687,405.028594970703,350.829071044922,421.011047363281,348.092529296875,421.714447021484,332.945770263672
29,1,16,294.732849121094,337.677581787109,273.601287841797,332.562683105469,328.716491699219,338.467437744141,326.630157470703,345.018920898437,294.920745849609,345.648040771484,279.839324951172,321.225128173828
30,2,16,414.845001220703,345.264373779297,430.600677490234,339.590026855469,392.837677001953,350.517120361328,403.303253173828,353.36376953125,420.038513183594,349.993560791016,420.803497314453,334.858154296875
31,1,17,294.77392578125,337.958770751953,273.442810058594,332.763641357422,328.753631591797,338.701721191406,326.626312255859,345.311431884766,294.933258056641,345.912414550781,279.562713623047,321.471801757812
32,2,17,413.581970214844,347.064880371094,430.234649658203,341.021087646484,393.804718017578,350.830108642578,401.360168457031,355.917327880859,418.845733642578,352.049896240234,419.717590332031,336.630920410156
33,1,18,294.573791503906,338.889190673828,272.970275878906,333.051971435547,328.425079345703,339.021118164062,326.229583740234,345.592224121094,294.8154296875,346.728454589844,279.123016357422,321.769592285156
34,2,18,413.829711914062,347.598114013672,430.620178222656,342.007751464844,394.536956787109,351.272247314453,400.825378417969,357.35205078125,419.270141601562,352.68701171875,420.227020263672,337.207336425781
35,1,19,294.216400146484,338.904388427734,272.444976806641,333.325622558594,328.086181640625,339.297485351562,325.831573486328,345.883911132812,294.433746337891,346.953338623047,278.605316162109,322.032470703125
36,2,19,414.733367919922,348.329162597656,432.621856689453,342.232849121094,395.206726074219,351.689849853516,401.442565917969,357.870727539062,420.485504150391,353.337738037109,421.856781005859,337.571563720703
37,1,20,294.066314697266,338.897979736328,271.255767822266,333.406188964844,327.482727050781,339.371795654297,325.201995849609,345.869903564453,294.052703857422,346.970031738281,277.712768554687,322.202850341797
38,2,20,416.447479248047,347.291687011719,434.780639648437,341.347717285156,394.922302246094,351.737609863281,401.8955078125,357.5283203125,422.060516357422,352.332611083984,423.353973388672,337.068054199219
39,1,21,292.604095458984,339.871307373047,270.627136230469,333.691680908203,326.874114990234,339.608428955078,324.477600097656,346.045806884766,293.133422851562,347.636962890625,277.342712402344,322.565338134766
